gene_symbol,cluster,up_features,down_features,phenotypic_strength
AATF,21,"interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_dapi_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",669/5299
ABT1,21,"interphase_nucleus_gh2ax_mean,interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",560/5299
BMS1,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",446/5299
BYSL,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",524/5299
C1orf131,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_nucleus_correlation_dapi_gh2ax","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",343/5299
DDX18,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",383/5299
DDX47,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",375/5299
DDX52,21,"interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",848/5299
DIMT1,21,"interphase_nucleus_dapi_mean,interphase_nucleus_gh2ax_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_correlation_dapi_tubulin,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",622/5299
DYRK1A,21,"interphase_nucleus_dapi_mean,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_cell_tubulin_mass_displacement,interphase_nucleus_eccentricity,interphase_nucleus_dapi_int,interphase_nucleus_solidity,interphase_cell_phalloidin_mean",492/5299
EIF3D,21,"interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_nucleus_form_factor,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_area,interphase_cell_area,interphase_nucleus_eccentricity,interphase_nucleus_dapi_int,interphase_nucleus_solidity",665/5299
EIF3E,21,"interphase_nucleus_gh2ax_mean,interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_eccentricity,interphase_nucleus_correlation_dapi_gh2ax",458/5299
EIF3F,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_int",604/5299
EIF3M,21,"interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean,interphase_cell_tubulin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",715/5299
EIF4A1,21,"interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_cell_tubulin_mean,interphase_nucleus_gh2ax_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_correlation_dapi_tubulin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_eccentricity,interphase_cell_phalloidin_mean,interphase_nucleus_dapi_int,interphase_nucleus_form_factor",392/5299
ESF1,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",386/5299
HK2,21,"interphase_nucleus_gh2ax_mean,interphase_cell_tubulin_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin","interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_area,interphase_nucleus_form_factor",923/5299
INO80,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_form_factor,interphase_nucleus_eccentricity,interphase_cell_phalloidin_mean,interphase_nucleus_correlation_dapi_gh2ax",1083/5299
MOB4,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean,interphase_nucleus_correlation_dapi_gh2ax","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_cell_tubulin_mass_displacement,interphase_nucleus_eccentricity,interphase_cell_eccentricity",1223/5299
NEPRO,21,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_mean,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_form_factor",574/5299
NGDN,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",581/5299
NOC4L,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",573/5299
NOL10,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",404/5299
NOP14,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",368/5299
PDCD11,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",482/5299
PPRC1,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_correlation_dapi_gh2ax","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",570/5299
RAE1,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_nucleus_form_factor","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_gh2ax_mean,interphase_nucleus_area,interphase_cell_area,interphase_nucleus_eccentricity,interphase_nucleus_solidity,interphase_nucleus_dapi_int,mitotic_nucleus_gh2ax_mean",652/5299
RAN,21,interphase_cell_phalloidin_mean,"interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",651/5299
RBIS,21,"interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",576/5299
RIOK2,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",326/5299
RRP12,21,"interphase_nucleus_gh2ax_mean,interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",473/5299
RRP36,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",610/5299
RRP7A,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",592/5299
SRFBP1,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",572/5299
TRMT112,21,"interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_eccentricity",479/5299
TSR1,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",588/5299
UTP14A,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_nucleus_correlation_dapi_gh2ax","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",423/5299
UTP20,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_nucleus_correlation_dapi_gh2ax","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity,interphase_nucleus_eccentricity",378/5299
ZCCHC9,21,"interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean","interphase_nucleus_area,interphase_cell_area,interphase_nucleus_solidity",428/5299
C7orf26,37,interphase_nucleus_area,"interphase_cell_tubulin_mean,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_gh2ax_mean,interphase_cell_tubulin_mass_displacement,interphase_nucleus_dapi_mean",3151/5299
CDK13,37,"interphase_nucleus_area,interphase_cell_area","interphase_nucleus_dapi_mean,interphase_cell_tubulin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mass_displacement,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_correlation_dapi_tubulin,interphase_cell_phalloidin_mean",2827/5299
COG2,37,"interphase_nucleus_area,interphase_cell_area","interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_nucleus_dapi_mean,interphase_cell_tubulin_mass_displacement,interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_form_factor",2787/5299
COG3,37,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_area","interphase_cell_phalloidin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mean,interphase_nucleus_dapi_mean,interphase_nucleus_solidity",2561/5299
COG4,37,,"interphase_cell_phalloidin_mean,interphase_cell_tubulin_mass_displacement",2620/5299
DYNLL1,37,"interphase_nucleus_area,interphase_cell_area","interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_tubulin_mass_displacement,interphase_nucleus_form_factor",1515/5299
ERH,37,"interphase_nucleus_area,interphase_cell_area,interphase_nucleus_eccentricity,mitotic_nucleus_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_tubulin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mass_displacement,interphase_nucleus_gh2ax_mean,mitotic_nucleus_tubulin_std_edge,mitotic_nucleus_eccentricity,interphase_nucleus_solidity",2002/5299
GARS1,37,,"interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_cell_tubulin_mass_displacement",2208/5299
HNRNPU,37,"interphase_nucleus_gh2ax_mean,mitotic_nucleus_area,interphase_nucleus_area","interphase_nucleus_dapi_mean,interphase_cell_tubulin_mass_displacement,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_tubulin_mean,interphase_nucleus_form_factor",2212/5299
INTS10,37,,interphase_cell_tubulin_mean,4594/5299
INTS11,37,"interphase_nucleus_area,interphase_cell_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_cell_tubulin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mass_displacement,interphase_nucleus_gh2ax_mean",2232/5299
INTS4,37,,"interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_tubulin_mean,interphase_cell_tubulin_mass_displacement,interphase_nucleus_form_factor,interphase_nucleus_dapi_mean,interphase_nucleus_solidity",1893/5299
INTS9,37,"interphase_nucleus_area,interphase_cell_area,mitotic_nucleus_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_cell_tubulin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mass_displacement,interphase_nucleus_gh2ax_mean,interphase_nucleus_solidity",2318/5299
MAP7D1,37,,,2588/5299
MLST8,37,interphase_nucleus_eccentricity,"interphase_cell_phalloidin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_tubulin_mean",1772/5299
MTOR,37,"interphase_nucleus_eccentricity,interphase_cell_correlation_dapi_tubulin,interphase_cell_eccentricity","interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_tubulin_mass_displacement,interphase_nucleus_dapi_mean,interphase_cell_area,interphase_nucleus_dapi_int",1553/5299
PDPK1,37,"interphase_nucleus_eccentricity,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_correlation_dapi_tubulin","interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_tubulin_mass_displacement,interphase_nucleus_form_factor,interphase_nucleus_solidity",1475/5299
PFDN1,37,,"interphase_cell_tubulin_mean,interphase_cell_tubulin_mass_displacement",1609/5299
PFDN2,37,,"interphase_cell_tubulin_mean,interphase_cell_tubulin_mass_displacement",2637/5299
PRKAR1A,37,"interphase_nucleus_area,interphase_cell_area,interphase_nucleus_correlation_dapi_gh2ax","interphase_nucleus_dapi_mean,interphase_cell_phalloidin_mean,interphase_cell_tubulin_mean,interphase_nucleus_form_factor,interphase_cell_tubulin_mass_displacement,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_solidity",2179/5299
PTBP1,37,"interphase_nucleus_area,interphase_nucleus_eccentricity,interphase_cell_eccentricity,interphase_cell_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_tubulin_mean,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_tubulin_mass_displacement",2089/5299
RHEB,37,interphase_cell_correlation_dapi_tubulin,"interphase_cell_tubulin_mass_displacement,interphase_cell_phalloidin_mean,interphase_cell_correlation_tubulin_phalloidin",1932/5299
RICTOR,37,interphase_nucleus_gh2ax_mean,"interphase_cell_phalloidin_mean,interphase_cell_tubulin_mass_displacement,interphase_nucleus_correlation_dapi_gh2ax,interphase_cell_correlation_tubulin_phalloidin",2111/5299
RPTOR,37,interphase_cell_correlation_dapi_tubulin,"interphase_cell_phalloidin_mean,interphase_cell_tubulin_mass_displacement,interphase_cell_tubulin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_form_factor",1715/5299
